"Protein Group","Uniprot Accession","Gene Symbol","Protein Description","ProteinProphet Probability","SVM Classification","SVM Probability","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","Unique Peptides","Coverage (%)"
1530,"Q9HAC8","UBTD1","Ubiquitin domain-containing protein 1 ",1,"Exosome","0.661"," 1.480 +/- 0.060"," 0.566","0.930 +/- 0.150","-0.105",2,11.9
1531,"Q9HAU5","UPF2","Regulator of nonsense transcripts 2 ",1,NA,"0.500"," 1.083 +/- 0.507"," 0.114","0.050 +/- 0.030","-4.322",2,1.8
1532,"Q9HAV7","GRPEL1","GrpE protein homolog 1; mitochondrial ",1,"Non-Exosome","0.873"," 0.364 +/- 0.002","-1.459","0.171 +/- 0.049","-2.548",7,42.4
1533,"Q9HB07","C12orf10","UPF0160 protein MYG1; mitochondrial ",1,"Non-Exosome","0.928"," 0.499 +/- 0.001","-1.002","0.374 +/- 0.054","-1.418",3,14.1
1534,"Q9HB71","CACYBP","Calcyclin-binding protein ",1,"Non-Exosome","0.929"," 0.465 +/- 0.018","-1.105","0.298 +/- 0.028","-1.748",5,24.6
1535,"Q9HBH0","RHOF","Rho-related GTP-binding protein RhoF ",1,"Non-Exosome","0.725"," 0.941 +/- 0.197","-0.088","0.683 +/- 0.073","-0.550",4,18
1536,"Q9HD42","CHMP1A","Charged multivesicular body protein 1a ",1,"Non-Exosome","0.640"," 1.068 +/- 0.102"," 0.095","0.726 +/- 0.066","-0.461",4,29.8
1537,"Q9HD67","MYO10","Unconventional myosin-X ",1,"Non-Exosome","0.865"," 0.490 +/- 0.190","-1.029","0.645 +/- 0.175","-0.633",2,2
1538,"H0Y512","APMAP","Adipocyte plasma membrane-associated protein (Fragment) ",0.0759,"Non-Exosome","0.922"," 0.487 +/- 0.014","-1.039","0.254 +/- 0.043","-1.979",10,0
1539,"Q9HDC9","APMAP","Adipocyte plasma membrane-associated protein ",1,"Non-Exosome","0.922"," 0.487 +/- 0.014","-1.039","0.254 +/- 0.043","-1.979",10,25.7
1540,"Q9NP72","RAB18","Ras-related protein Rab-18 ",1,"Non-Exosome","0.921"," 0.628 +/- 0.112","-0.672","0.328 +/- 0.048","-1.610",3,24.8
1541,"Q9NP79","VTA1","Vacuolar protein sorting-associated protein VTA1 homolog ",1,"Exosome","0.687"," 1.151 +/- 0.081"," 0.203","1.273 +/- 0.207"," 0.348",2,9.1
1542,"Q9NP84","TNFRSF12A","Tumor necrosis factor receptor superfamily member 12A ",1,"Non-Exosome","0.803"," 0.938 +/- 0.192","-0.092","0.548 +/- 0.012","-0.867",2,23.3
1543,"Q9NPH3-5","IL1RAP","Isoform 4 of Interleukin-1 receptor accessory protein ",1,"Exosome","0.579"," 1.329 +/- 0.129"," 0.410","0.869 +/- 0.139","-0.203",2,3.5
1544,"Q96HJ9-2","C7orf55","Isoform 2 of UPF0562 protein C7orf55 ",0.9999,"Non-Exosome","0.920"," 0.395 +/- 0.005","-1.340","0.258 +/- 0.048","-1.957",2,8.7
1545,"Q9NQ29-2","LUC7L","Isoform 2 of Putative RNA-binding protein Luc7-like 1 ",1,"Non-Exosome","0.925"," 0.395 +/- 0.005","-1.340","0.300 +/- 0.090","-1.737",1,9.9
1546,"Q9NQX7-2","ITM2C","Isoform 2 of Integral membrane protein 2C ",1,"Non-Exosome","0.643"," 1.025 +/- 0.135"," 0.036","0.752 +/- 0.312","-0.410",2,16.1
1547,"Q9NR28-2","DIABLO","Isoform 2 of Diablo homolog; mitochondrial ",1,"Non-Exosome","0.923"," 0.380 +/- 0.120","-1.396","0.335 +/- 0.185","-1.578",2,21.5
1548,"Q9NR31","SAR1A","GTP-binding protein SAR1a ",1,"Non-Exosome","0.861"," 0.302 +/- 0.028","-1.725","0.172 +/- 0.028","-2.535",3,25.3
1549,"Q9NRX1","PNO1","RNA-binding protein PNO1 ",1,"Non-Exosome","0.889"," 0.402 +/- 0.128","-1.313","0.185 +/- 0.055","-2.434",3,12.3
1550,"Q9NSD9","FARSB","Phenylalanine--tRNA ligase beta subunit ",1,"Non-Exosome","0.925"," 0.487 +/- 0.007","-1.039","0.268 +/- 0.098","-1.902",4,9.2
1551,"Q9NSE4","IARS2","Isoleucine--tRNA ligase; mitochondrial ",1,"Non-Exosome","0.923"," 0.449 +/- 0.048","-1.155","0.259 +/- 0.038","-1.947",12,14.1
1552,"Q12965","MYO1E","Unconventional myosin-Ie ",0.9959,"Non-Exosome","0.645"," 0.560 +/- 0.260","-0.837","0.078 +/- 0.052","-3.690",3,1.4
1553,"Q9NTI5-2","PDS5B","Isoform 2 of Sister chromatid cohesion protein PDS5 homolog B ",1,"Non-Exosome","0.881"," 0.705 +/- 0.300","-0.504","0.212 +/- 0.002","-2.234",3,0.5
1554,"Q9NTJ3","SMC4","Structural maintenance of chromosomes protein 4 ",1,"Non-Exosome","0.903"," 0.466 +/- 0.051","-1.102","0.204 +/- 0.001","-2.292",3,3.9
1555,"Q9NTJ5","SACM1L","Phosphatidylinositide phosphatase SAC1 ",1,"Non-Exosome","0.886"," 0.387 +/- 0.063","-1.371","0.182 +/- 0.022","-2.454",4,9.2
1556,"Q9NTK5-2","OLA1","Isoform 2 of Obg-like ATPase 1 ",0.0188,"Non-Exosome","0.873"," 0.750 +/- 0.290","-0.415","0.510 +/- 0.370","-0.971",2,0
1557,"Q9NTK5","OLA1","Obg-like ATPase 1 ",1,"Non-Exosome","0.920"," 0.622 +/- 0.046","-0.686","0.296 +/- 0.158","-1.758",4,15.9
1558,"Q9NU22","MDN1","Midasin ",1,"Non-Exosome","0.708"," 1.320 +/- 0.980"," 0.401","0.465 +/- 0.305","-1.105",2,0.8
1559,"Q9NUQ3","TXLNG","Gamma-taxilin ",1,"Exosome","0.585"," 1.090 +/- 0.286"," 0.125","1.069 +/- 0.347"," 0.097",4,8
1560,"Q9NUQ9","FAM49B","Protein FAM49B ",1,"Non-Exosome","0.915"," 0.645 +/- 0.115","-0.633","0.280 +/- 0.090","-1.837",1,5.9
1561,"Q9NUU7","DDX19A","ATP-dependent RNA helicase DDX19A ",1,"Non-Exosome","0.903"," 0.370 +/- 0.160","-1.434","0.213 +/- 0.047","-2.229",3,9.6
1562,"Q9NV96-2","TMEM30A","Isoform 2 of Cell cycle control protein 50A ",1,"Non-Exosome","0.928"," 0.505 +/- 0.165","-0.986","0.375 +/- 0.080","-1.415",2,6.6
1563,"Q16181-2","SEPT7","Isoform 2 of Septin-7 ",0.9999,"Non-Exosome","0.889"," 0.813 +/- 0.048","-0.298","0.382 +/- 0.058","-1.386",3,8.1
1564,"Q9NVA2-2","SEPT11","Isoform 2 of Septin-11 ",1,"Non-Exosome","0.875"," 0.859 +/- 0.006","-0.219","0.409 +/- 0.010","-1.290",5,13.2
1565,"Q9NVD7","PARVA","Alpha-parvin ",1,"Non-Exosome","0.876"," 0.640 +/- 0.070","-0.644","0.568 +/- 0.218","-0.817",4,16.9
1566,"Q5T2N8","ATAD3C","ATPase family AAA domain-containing protein 3C ",0.0193,"Non-Exosome","0.870"," 0.416 +/- 0.024","-1.267","0.164 +/- 0.001","-2.604",4,0
1567,"Q9NVI7-2","ATAD3A","Isoform 2 of ATPase family AAA domain-containing protein 3A ",1,"Non-Exosome","0.914"," 0.422 +/- 0.025","-1.244","0.230 +/- 0.042","-2.118",9,15.5
1568,"Q9NVJ2","ARL8B","ADP-ribosylation factor-like protein 8B ",1,"Non-Exosome","0.918"," 0.623 +/- 0.145","-0.683","0.395 +/- 0.067","-1.339",5,15.1
1569,"Q9NVP1","DDX18","ATP-dependent RNA helicase DDX18 ",1,"Non-Exosome","0.697"," 0.944 +/- 0.549","-0.083","0.724 +/- 0.399","-0.466",3,11.5
1570,"Q9NWZ5-4","UCKL1","Isoform 4 of Uridine-cytidine kinase-like 1 ",1,"Non-Exosome","0.762"," 0.895 +/- 0.075","-0.160","0.655 +/- 0.475","-0.610",2,5.4
1571,"Q9NX14-2","NDUFB11","Isoform 2 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11; mitochondrial ",1,"Non-Exosome","0.841"," 0.272 +/- 0.048","-1.876","0.165 +/- 0.015","-2.599",2,11.8
1572,"Q9NX24","NHP2","H/ACA ribonucleoprotein complex subunit 2 ",1,"Non-Exosome","0.659"," 0.985 +/- 0.265","-0.022","0.752 +/- 0.522","-0.410",1,22
1573,"Q9NX40-2","OCIAD1","Isoform 2 of OCIA domain-containing protein 1 ",1,"Non-Exosome","0.925"," 0.584 +/- 0.091","-0.776","0.342 +/- 0.095","-1.548",2,24
1574,"Q9NX63","CHCHD3","Coiled-coil-helix-coiled-coil-helix domain-containing protein 3; mitochondrial ",1,"Non-Exosome","0.847"," 0.255 +/- 0.085","-1.971","0.182 +/- 0.002","-2.454",3,25.1
1575,"Q9NXE4-2","SMPD4","Isoform 2 of Sphingomyelin phosphodiesterase 4 ",1,"Non-Exosome","0.768"," 0.222 +/- 0.092","-2.168","0.135 +/- 0.015","-2.889",3,3.1
1576,"Q9NXF1-2","TEX10","Isoform 2 of Testis-expressed sequence 10 protein ",1,"Non-Exosome","0.832"," 0.315 +/- 0.135","-1.667","0.145 +/- 0.015","-2.786",2,3.1
1577,"D6RAZ7","CLDND1","Claudin domain-containing protein 1 ",0.4099,"Exosome","0.751"," 1.455 +/- 0.925"," 0.541","1.180 +/- 0.110"," 0.239",1,16.9
1578,"Q9NY35-2","CLDND1","Isoform 2 of Claudin domain-containing protein 1 ",1,"Exosome","0.603"," 1.237 +/- 0.077"," 0.306","0.978 +/- 0.018","-0.033",3,17.8
1579,"Q9NYL9","TMOD3","Tropomodulin-3 ",1,"Non-Exosome","0.927"," 0.543 +/- 0.030","-0.881","0.305 +/- 0.022","-1.715",4,12.8
1580,"Q9NYU1","UGGT2","UDP-glucose:glycoprotein glucosyltransferase 2 ",0.2771,"Non-Exosome","0.719"," 0.252 +/- 0.052","-1.986","0.102 +/- 0.062","-3.286",2,2
1581,"Q9NYU2-2","UGGT1","Isoform 2 of UDP-glucose:glycoprotein glucosyltransferase 1 ",1,"Non-Exosome","0.871"," 0.327 +/- 0.002","-1.614","0.176 +/- 0.050","-2.505",9,7.4
1582,"M0QXM3","TECR","Very-long-chain enoyl-CoA reductase (Fragment) ",0.029,"Non-Exosome","0.908"," 0.325 +/- 0.067","-1.620","0.257 +/- 0.043","-1.959",5,0
1583,"Q9NZ01","TECR","Very-long-chain enoyl-CoA reductase ",1,"Non-Exosome","1.000"," 0.325 +/- 0.019","-1.622","0.222 +/- 0.028","-2.175",7,24
1584,"Q9NZ08-2","ERAP1","Isoform 2 of Endoplasmic reticulum aminopeptidase 1 ",1,"Non-Exosome","0.899"," 0.435 +/- 0.051","-1.202","0.198 +/- 0.016","-2.339",5,6.5
1585,"Q9NZB2-4","FAM120A","Isoform D of Constitutive coactivator of PPAR-gamma-like protein 1 ",1,"Non-Exosome","0.857"," 0.628 +/- 0.102","-0.672","0.170 +/- 0.010","-2.556",4,5.9
1586,"Q9NZJ7-2","MTCH1","Isoform 2 of Mitochondrial carrier homolog 1 ",1,"Non-Exosome","0.874"," 0.345 +/- 0.165","-1.535","0.175 +/- 0.115","-2.515",1,5.8
1587,"Q9NZM1-6","MYOF","Isoform 6 of Myoferlin ",1,"Non-Exosome","0.921"," 0.629 +/- 0.038","-0.669","0.342 +/- 0.038","-1.549",43,30.4
1588,"Q15811-10","ITSN1","Isoform 10 of Intersectin-1 ",0.9996,"Exosome","0.619"," 1.955 +/- 0.775"," 0.967","0.670 +/- 0.360","-0.578",2,2.3
1589,"Q9NZM3-2","ITSN2","Isoform 2 of Intersectin-2 ",1,"Exosome","0.868"," 2.348 +/- 1.103"," 1.231","1.455 +/- 0.740"," 0.541",4,4.6
1590,"H3BLZ2","DBNDD1","Dysbindin domain-containing protein 1 ",0.0029,"Exosome","0.818"," 1.638 +/- 0.138"," 0.711","1.367 +/- 0.013"," 0.452",1,0
1591,"Q9NZZ3-2","CHMP5","Isoform 2 of Charged multivesicular body protein 5 ",1,"Exosome","0.588"," 1.222 +/- 0.162"," 0.290","0.959 +/- 0.074","-0.060",3,13.5
1592,"Q9P015","MRPL15","39S ribosomal protein L15; mitochondrial ",1,"Non-Exosome","0.820"," 0.515 +/- 0.095","-0.957","0.135 +/- 0.075","-2.889",2,9.1
1593,"Q6FI81-3","CIAPIN1","Isoform 3 of Anamorsin ",0.0081,"Non-Exosome","0.921"," 0.545 +/- 0.065","-0.876","0.260 +/- 0.050","-1.943",1,0
1594,"Q969R5","L3MBTL2","Lethal(3)malignant brain tumor-like protein 2 ",0.9982,"Non-Exosome","0.921"," 0.545 +/- 0.065","-0.876","0.260 +/- 0.050","-1.943",1,3.4
1595,"Q9P035","PTPLAD1","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 ",1,"Non-Exosome","0.901"," 0.359 +/- 0.002","-1.477","0.211 +/- 0.007","-2.242",4,12.2
1596,"Q9P0I2-2","EMC3","Isoform 2 of ER membrane protein complex subunit 3 ",1,"Non-Exosome","0.837"," 0.525 +/- 0.185","-0.930","0.145 +/- 0.075","-2.786",2,10
1597,"Q9P0J0","NDUFA13","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 ",1,"Non-Exosome","0.762"," 0.266 +/- 0.086","-1.911","0.117 +/- 0.003","-3.095",2,21.5
1598,"Q9Y6E0-2","STK24","Isoform A of Serine/threonine-protein kinase 24 ",0.0194,"Non-Exosome","0.926"," 0.473 +/- 0.135","-1.081","0.278 +/- 0.046","-1.847",4,0
1599,"Q9P289","MST4","Serine/threonine-protein kinase MST4 ",1,"Non-Exosome","1.000"," 0.477 +/- 0.139","-1.068","0.262 +/- 0.030","-1.935",6,15.6
1600,"Q9P2E9-2","RRBP1","Isoform 1 of Ribosome-binding protein 1 ",1,"Non-Exosome","0.927"," 0.438 +/- 0.048","-1.193","0.362 +/- 0.102","-1.464",3,15.4
1601,"Q9Y6Y8-2","SEC23IP","Isoform 2 of SEC23-interacting protein ",1,"Non-Exosome","0.928"," 0.468 +/- 0.098","-1.097","0.370 +/- 0.090","-1.434",3,4.6
1602,"Q9P2J5","LARS","Leucine--tRNA ligase; cytoplasmic ",1,"Non-Exosome","0.913"," 0.494 +/- 0.039","-1.017","0.227 +/- 0.008","-2.141",4,6.3
1603,"Q9P2R7-2","SUCLA2","Isoform 2 of Succinyl-CoA ligase [ADP-forming] subunit beta; mitochondrial ",1,"Non-Exosome","0.922"," 0.405 +/- 0.005","-1.304","0.265 +/- 0.003","-1.915",5,12.1
1604,"Q9UBB4-2","ATXN10","Isoform 2 of Ataxin-10 ",1,"Non-Exosome","0.925"," 0.438 +/- 0.012","-1.190","0.272 +/- 0.022","-1.880",2,4.6
1605,"Q9UBC2-2","EPS15L1","Isoform 2 of Epidermal growth factor receptor substrate 15-like 1 ",1,"Exosome","0.878"," 2.884 +/- 0.173"," 1.528","1.636 +/- 0.184"," 0.710",20,30
1606,"Q9UBI6","GNG12","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 ",1,"Non-Exosome","0.580"," 1.245 +/- 0.205"," 0.316","0.692 +/- 0.412","-0.530",1,66.7
1607,"Q9UBQ0-2","VPS29","Isoform 2 of Vacuolar protein sorting-associated protein 29 ",1,"Non-Exosome","0.928"," 0.510 +/- 0.060","-0.971","0.370 +/- 0.030","-1.434",3,20.3
1608,"Q9UBU9","NXF1","Nuclear RNA export factor 1 ",1,"Non-Exosome","0.806"," 0.303 +/- 0.063","-1.721","0.132 +/- 0.072","-2.925",2,3.9
1609,"Q9UDR5","AASS","Alpha-aminoadipic semialdehyde synthase; mitochondrial ",1,"Non-Exosome","0.912"," 0.390 +/- 0.100","-1.358","0.230 +/- 0.030","-2.120",2,3.1
1610,"Q9UDW1","UQCR10","Cytochrome b-c1 complex subunit 9 ",1,"Non-Exosome","0.912"," 0.431 +/- 0.096","-1.215","0.224 +/- 0.066","-2.160",2,50.8
1611,"Q9UDY2-2","TJP2","Isoform A2 of Tight junction protein ZO-2 ",1,"Non-Exosome","0.928"," 0.435 +/- 0.015","-1.201","0.310 +/- 0.080","-1.690",2,4.4
1612,"Q9UFC0","LRWD1","Leucine-rich repeat and WD repeat-containing protein 1 ",1,"Non-Exosome","0.800"," 0.200 +/- 0.060","-2.322","0.185 +/- 0.045","-2.434",2,5.4
1613,"Q9UH99-2","SUN2","Isoform 2 of SUN domain-containing protein 2 ",1,"Non-Exosome","0.926"," 0.430 +/- 0.045","-1.218","0.282 +/- 0.028","-1.824",3,9.1
1614,"C9JQJ4","SEPT2","Septin-2 (Fragment) ",0.0141,"Non-Exosome","0.900"," 0.751 +/- 0.129","-0.413","0.389 +/- 0.014","-1.363",2,0
1615,"Q15019-2","SEPT2","Isoform 2 of Septin-2 ",1,"Non-Exosome","0.896"," 0.756 +/- 0.046","-0.404","0.416 +/- 0.098","-1.267",6,24.4
1616,"Q9UHD8-2","SEPT9","Isoform 2 of Septin-9 ",1,"Non-Exosome","0.910"," 0.706 +/- 0.044","-0.502","0.359 +/- 0.027","-1.480",6,10.8
1617,"Q9UHG3","PCYOX1","Prenylcysteine oxidase 1 ",1,"Non-Exosome","0.806"," 0.315 +/- 0.050","-1.667","0.130 +/- 0.012","-2.943",5,14.1
1618,"Q9UHQ9","CYB5R1","NADH-cytochrome b5 reductase 1 ",1,"Non-Exosome","0.920"," 0.398 +/- 0.148","-1.331","0.259 +/- 0.041","-1.950",2,11.8
1619,"Q9UHX1-2","PUF60","Isoform 2 of Poly(U)-binding-splicing factor PUF60 ",1,"Non-Exosome","0.877"," 0.371 +/- 0.031","-1.430","0.174 +/- 0.001","-2.525",2,4.8
1620,"Q9UI30-2","TRMT112","Isoform 2 of tRNA methyltransferase 112 homolog ",1,"Non-Exosome","0.929"," 0.472 +/- 0.138","-1.084","0.308 +/- 0.142","-1.697",3,36.8
1621,"Q9UIJ7","AK3","GTP:AMP phosphotransferase AK3; mitochondrial ",1,"Non-Exosome","0.508"," 1.597 +/- 0.862"," 0.676","0.612 +/- 0.318","-0.707",2,14.5
1622,"Q9HCM2","PLXNA4","Plexin-A4 ",1,"Non-Exosome","0.810"," 0.910 +/- 0.150","-0.136","0.555 +/- 0.175","-0.849",4,3.1
1623,"Q9UIW2","PLXNA1","Plexin-A1 ",1,"Non-Exosome","0.632"," 1.377 +/- 0.021"," 0.462","0.553 +/- 0.097","-0.854",5,4.3
1624,"O75746-2","SLC25A12","Isoform 2 of Calcium-binding mitochondrial carrier protein Aralar1 ",0.9997,"Non-Exosome","0.895"," 0.386 +/- 0.006","-1.374","0.196 +/- 0.006","-2.354",4,10.3
1625,"Q9UJS0-2","SLC25A13","Isoform 2 of Calcium-binding mitochondrial carrier protein Aralar2 ",1,"Non-Exosome","0.891"," 0.476 +/- 0.014","-1.072","0.187 +/- 0.007","-2.416",13,23.3
1626,"Q9UJV9","DDX41","Probable ATP-dependent RNA helicase DDX41 ",1,"Non-Exosome","0.816"," 0.445 +/- 0.055","-1.168","0.130 +/- 0.020","-2.943",1,5.1
1627,"Q9UJZ1-2","STOML2","Isoform 2 of Stomatin-like protein 2; mitochondrial ",1,"Non-Exosome","0.918"," 0.587 +/- 0.046","-0.768","0.261 +/- 0.011","-1.936",7,35.4
1628,"E9PM90","VPS28","Vacuolar protein sorting-associated protein 28 homolog (Fragment) ",0.0422,"Non-Exosome","0.648"," 1.144 +/- 0.152"," 0.194","0.667 +/- 0.127","-0.585",4,0
1629,"Q9UK41-2","VPS28","Isoform 2 of Vacuolar protein sorting-associated protein 28 homolog ",1,"Non-Exosome","0.648"," 1.144 +/- 0.152"," 0.194","0.667 +/- 0.127","-0.585",4,26.2
1630,"Q9UKF6","CPSF3","Cleavage and polyadenylation specificity factor subunit 3 ",1,"Non-Exosome","0.923"," 0.594 +/- 0.204","-0.751","0.375 +/- 0.005","-1.415",2,5.6
1631,"Q9UKS6","PACSIN3","Protein kinase C and casein kinase substrate in neurons protein 3 ",1,"Non-Exosome","0.754"," 0.809 +/- 0.011","-0.305","0.728 +/- 0.232","-0.459",3,19.1
1632,"Q9UKV3-2","ACIN1","Isoform 2 of Apoptotic chromatin condensation inducer in the nucleus ",1,"Non-Exosome","0.897"," 0.345 +/- 0.075","-1.535","0.210 +/- 0.040","-2.252",4,13.7
1633,"Q9UL15-2","BAG5","Isoform 2 of BAG family molecular chaperone regulator 5 ",1,"Non-Exosome","0.868"," 0.612 +/- 0.032","-0.707","0.605 +/- 0.175","-0.725",2,6.3
1634,"Q9ULC5-3","ACSL5","Isoform 2 of Long-chain-fatty-acid--CoA ligase 5 ",1,"Non-Exosome","0.926"," 0.434 +/- 0.010","-1.203","0.283 +/- 0.117","-1.821",4,8.6
1635,"Q9ULT8","HECTD1","E3 ubiquitin-protein ligase HECTD1 ",1,"Non-Exosome","0.756"," 1.135 +/- 0.505"," 0.183","0.500 +/- 0.240","-1.000",2,1.3
1636,"Q6QEF8-2","CORO6","Isoform 2 of Coronin-6 ",0.0098,"Non-Exosome","0.838"," 0.228 +/- 0.108","-2.136","0.418 +/- 0.072","-1.260",2,0
1637,"Q9ULV4-2","CORO1C","Isoform 2 of Coronin-1C ",1,"Non-Exosome","0.929"," 0.482 +/- 0.182","-1.052","0.310 +/- 0.025","-1.691",4,9.3
1638,"Q9UMS4","PRPF19","Pre-mRNA-processing factor 19 ",1,"Non-Exosome","0.859"," 0.425 +/- 0.065","-1.234","0.156 +/- 0.020","-2.685",2,7.9
1639,"Q9UNF0-2","PACSIN2","Isoform 2 of Protein kinase C and casein kinase substrate in neurons protein 2 ",1,"Non-Exosome","0.659"," 1.073 +/- 0.415"," 0.101","0.693 +/- 0.395","-0.530",7,16.6
1640,"Q9UNM6-2","PSMD13","Isoform 2 of 26S proteasome non-ATPase regulatory subunit 13 ",1,"Non-Exosome","0.929"," 0.463 +/- 0.055","-1.111","0.299 +/- 0.051","-1.740",7,27.9
1641,"Q9UNX4","WDR3","WD repeat-containing protein 3 ",1,"Non-Exosome","0.926"," 0.469 +/- 0.007","-1.092","0.275 +/- 0.035","-1.862",7,10.8
1642,"Q9UNZ2-5","NSFL1C","Isoform 3 of NSFL1 cofactor p47 ",1,"Non-Exosome","0.881"," 0.280 +/- 0.070","-1.837","0.220 +/- 0.080","-2.184",2,13.5
1643,"Q9UPN3-2","MACF1","Isoform 2 of Microtubule-actin cross-linking factor 1; isoforms 1/2/3/5 ",1,"Non-Exosome","0.910"," 0.650 +/- 0.040","-0.621","0.430 +/- 0.190","-1.218",1,0.5
1644,"Q9UQ80","PA2G4","Proliferation-associated protein 2G4 ",1,"Non-Exosome","0.927"," 0.497 +/- 0.033","-1.008","0.288 +/- 0.044","-1.795",10,32
1645,"Q9UQE7","SMC3","Structural maintenance of chromosomes protein 3 ",1,"Non-Exosome","0.926"," 0.568 +/- 0.152","-0.817","0.325 +/- 0.105","-1.621",3,7.7
1646,"Q9Y223-2","GNE","Isoform 2 of Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase ",1,"Non-Exosome","0.821"," 0.645 +/- 0.135","-0.633","0.148 +/- 0.068","-2.761",2,8.3
1647,"Q9Y224","C14orf166","UPF0568 protein C14orf166 ",1,"Non-Exosome","0.900"," 0.358 +/- 0.004","-1.483","0.211 +/- 0.039","-2.246",6,30.3
1648,"Q9Y230","RUVBL2","RuvB-like 2 ",1,"Non-Exosome","0.916"," 0.661 +/- 0.024","-0.598","0.302 +/- 0.065","-1.727",12,32
1649,"Q9Y262-2","EIF3L","Isoform 2 of Eukaryotic translation initiation factor 3 subunit L ",1,"Non-Exosome","0.878"," 0.712 +/- 0.128","-0.489","0.521 +/- 0.119","-0.941",6,10.5
1650,"Q9Y265","RUVBL1","RuvB-like 1 ",1,"Non-Exosome","0.898"," 0.709 +/- 0.010","-0.497","0.249 +/- 0.018","-2.007",8,22.1
1651,"Q9Y277-2","VDAC3","Isoform 2 of Voltage-dependent anion-selective channel protein 3 ",1,"Non-Exosome","0.883"," 0.355 +/- 0.005","-1.494","0.184 +/- 0.024","-2.441",5,24.7
1652,"Q9Y296","TRAPPC4","Trafficking protein particle complex subunit 4 ",1,"Non-Exosome","0.926"," 0.578 +/- 0.028","-0.790","0.325 +/- 0.025","-1.621",3,17
1653,"Q9Y2G5-1","POFUT2","Isoform A of GDP-fucose protein O-fucosyltransferase 2 ",1,"Non-Exosome","0.912"," 0.678 +/- 0.028","-0.562","0.291 +/- 0.016","-1.782",3,6.1
1654,"C9JNT3","GSTK1","Glutathione S-transferase kappa 1 (Fragment) ",0.0049,"Non-Exosome","0.792"," 0.300 +/- 0.110","-1.737","0.125 +/- 0.055","-3.000",1,0
1655,"Q9Y2Q3-3","GSTK1","Isoform 3 of Glutathione S-transferase kappa 1 ",0.015,"Non-Exosome","0.921"," 0.558 +/- 0.142","-0.843","0.420 +/- 0.275","-1.252",3,0
1656,"Q9Y2Q3-4","GSTK1","Isoform 4 of Glutathione S-transferase kappa 1 ",0.015,"Non-Exosome","0.716"," 0.875 +/- 0.335","-0.193","0.745 +/- 0.465","-0.425",3,0
1657,"E9PFN5","GSTK1","Glutathione S-transferase kappa 1 ",0.015,"Non-Exosome","0.889"," 0.343 +/- 0.153","-1.542","0.195 +/- 0.015","-2.358",3,0
1658,"Q9Y2Q3-2","GSTK1","Isoform 2 of Glutathione S-transferase kappa 1 ",0.0199,"Non-Exosome","0.912"," 0.598 +/- 0.102","-0.741","0.452 +/- 0.242","-1.144",4,0
1659,"Q9Y2Q3","GSTK1","Glutathione S-transferase kappa 1 ",1,"Non-Exosome","0.912"," 0.598 +/- 0.102","-0.741","0.452 +/- 0.242","-1.144",4,23
1660,"Q9Y2R9","MRPS7","28S ribosomal protein S7; mitochondrial ",1,"Non-Exosome","0.887"," 0.430 +/- 0.130","-1.218","0.570 +/- 0.410","-0.811",2,9.1
1661,"Q9NYF8-2","BCLAF1","Isoform 2 of Bcl-2-associated transcription factor 1 ",1,"Non-Exosome","1.000"," 0.692 +/- 0.268","-0.530","0.460 +/- 0.195","-1.120",3,7.8
1662,"Q9Y2Z4","YARS2","Tyrosine--tRNA ligase; mitochondrial ",1,"Non-Exosome","0.927"," 0.485 +/- 0.010","-1.044","0.280 +/- 0.090","-1.837",2,3.4
1663,"Q9Y305-2","ACOT9","Isoform 2 of Acyl-coenzyme A thioesterase 9; mitochondrial ",1,"Non-Exosome","0.920"," 0.388 +/- 0.052","-1.368","0.262 +/- 0.088","-1.930",2,4.4
1664,"Q9Y371-2","SH3GLB1","Isoform 2 of Endophilin-B1 ",1,"Non-Exosome","0.878"," 0.881 +/- 0.271","-0.183","0.311 +/- 0.121","-1.685",3,7.4
1665,"Q9Y3A5","SBDS","Ribosome maturation protein SBDS ",1,"Non-Exosome","0.917"," 0.662 +/- 0.014","-0.595","0.357 +/- 0.021","-1.486",5,23.6
1666,"Q9Y3B7","MRPL11","39S ribosomal protein L11; mitochondrial ",1,"Non-Exosome","0.849"," 0.290 +/- 0.110","-1.786","0.165 +/- 0.075","-2.599",2,28.6
1667,"Q9Y3C1-2","NOP16","Isoform 2 of Nucleolar protein 16 ",1,"Non-Exosome","0.913"," 0.695 +/- 0.055","-0.525","0.345 +/- 0.225","-1.535",2,12
1668,"Q9Y3E7","CHMP3","Charged multivesicular body protein 3 ",1,"Exosome","0.526"," 1.228 +/- 0.064"," 0.296","0.852 +/- 0.092","-0.232",4,20.7
1669,"Q9Y3F4","STRAP","Serine-threonine kinase receptor-associated protein ",1,"Non-Exosome","0.780"," 0.260 +/- 0.080","-1.943","0.128 +/- 0.018","-2.971",3,27.3
