"Uniprot Accession","Protein Description","Gene Symbol","Protein Group","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","SVM Classification","SVM Probability"
"Q9Y230","RuvB-like 2 ","RUVBL2",1648," 0.661 +/- 0.024","-0.598","0.302 +/- 0.065","-1.727","Non-Exosome","0.915"
"Q9Y262-2","Isoform 2 of Eukaryotic translation initiation factor 3 subunit L ","EIF3L",1649," 0.712 +/- 0.128","-0.489","0.521 +/- 0.119","-0.941","Non-Exosome","0.877"
"Q9Y265","RuvB-like 1 ","RUVBL1",1650," 0.709 +/- 0.010","-0.497","0.249 +/- 0.018","-2.007","Non-Exosome","0.897"
"Q9Y277-2","Isoform 2 of Voltage-dependent anion-selective channel protein 3 ","VDAC3",1651," 0.355 +/- 0.005","-1.494","0.184 +/- 0.024","-2.441","Non-Exosome","0.883"
"Q9Y296","Trafficking protein particle complex subunit 4 ","TRAPPC4",1652," 0.578 +/- 0.028","-0.790","0.325 +/- 0.025","-1.621","Non-Exosome","0.925"
"Q9Y2G5-1","Isoform A of GDP-fucose protein O-fucosyltransferase 2 ","POFUT2",1653," 0.678 +/- 0.028","-0.562","0.291 +/- 0.016","-1.782","Non-Exosome","0.912"
"C9JNT3","Glutathione S-transferase kappa 1 (Fragment) ","GSTK1",1654," 0.300 +/- 0.110","-1.737","0.125 +/- 0.055","-3.000","Non-Exosome","0.791"
"Q9Y2Q3-3","Isoform 3 of Glutathione S-transferase kappa 1 ","GSTK1",1655," 0.558 +/- 0.142","-0.843","0.420 +/- 0.275","-1.252","Non-Exosome","0.920"
"Q9Y2Q3-4","Isoform 4 of Glutathione S-transferase kappa 1 ","GSTK1",1656," 0.875 +/- 0.335","-0.193","0.745 +/- 0.465","-0.425","Non-Exosome","0.715"
"E9PFN5","Glutathione S-transferase kappa 1 ","GSTK1",1657," 0.343 +/- 0.153","-1.542","0.195 +/- 0.015","-2.358","Non-Exosome","0.888"
"Q9Y2Q3-2","Isoform 2 of Glutathione S-transferase kappa 1 ","GSTK1",1658," 0.598 +/- 0.102","-0.741","0.452 +/- 0.242","-1.144","Non-Exosome","0.911"
"Q9Y2Q3","Glutathione S-transferase kappa 1 ","GSTK1",1659," 0.598 +/- 0.102","-0.741","0.452 +/- 0.242","-1.144","Non-Exosome","0.911"
"Q9Y2R9","28S ribosomal protein S7; mitochondrial ","MRPS7",1660," 0.430 +/- 0.130","-1.218","0.570 +/- 0.410","-0.811","Non-Exosome","0.886"
"Q9NYF8-2","Isoform 2 of Bcl-2-associated transcription factor 1 ","BCLAF1",1661," 0.692 +/- 0.268","-0.530","0.460 +/- 0.195","-1.120","Non-Exosome","1.000"
"Q9Y2Z4","Tyrosine--tRNA ligase; mitochondrial ","YARS2",1662," 0.485 +/- 0.010","-1.044","0.280 +/- 0.090","-1.837","Non-Exosome","0.926"
"Q9Y305-2","Isoform 2 of Acyl-coenzyme A thioesterase 9; mitochondrial ","ACOT9",1663," 0.388 +/- 0.052","-1.368","0.262 +/- 0.088","-1.930","Non-Exosome","0.919"
"Q9Y371-2","Isoform 2 of Endophilin-B1 ","SH3GLB1",1664," 0.881 +/- 0.271","-0.183","0.311 +/- 0.121","-1.685","Non-Exosome","0.877"
"Q9Y3A5","Ribosome maturation protein SBDS ","SBDS",1665," 0.662 +/- 0.014","-0.595","0.357 +/- 0.021","-1.486","Non-Exosome","0.916"
"Q9Y3B7","39S ribosomal protein L11; mitochondrial ","MRPL11",1666," 0.290 +/- 0.110","-1.786","0.165 +/- 0.075","-2.599","Non-Exosome","0.848"
"Q9Y3C1-2","Isoform 2 of Nucleolar protein 16 ","NOP16",1667," 0.695 +/- 0.055","-0.525","0.345 +/- 0.225","-1.535","Non-Exosome","0.912"
"Q9Y3E7","Charged multivesicular body protein 3 ","CHMP3",1668," 1.228 +/- 0.064"," 0.296","0.852 +/- 0.092","-0.232","Exosome","0.526"
"Q9Y3F4","Serine-threonine kinase receptor-associated protein ","STRAP",1669," 0.260 +/- 0.080","-1.943","0.128 +/- 0.018","-2.971","Non-Exosome","0.780"
"Q9Y3I0","tRNA-splicing ligase RtcB homolog ","RTCB",1670," 0.512 +/- 0.162","-0.964","0.275 +/- 0.025","-1.862","Non-Exosome","0.925"
"Q9Y3U8","60S ribosomal protein L36 ","RPL36",1671," 0.457 +/- 0.047","-1.131","0.202 +/- 0.028","-2.310","Non-Exosome","0.901"
"Q9Y3Z3-3","Isoform 3 of Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 ","SAMHD1",1672," 0.318 +/- 0.005","-1.653","0.143 +/- 0.023","-2.803","Non-Exosome","0.829"
"Q9Y446-2","Isoform PKP3b of Plakophilin-3 ","PKP3",1673," 1.225 +/- 0.174"," 0.293","0.559 +/- 0.001","-0.839","Non-Exosome","0.684"
"P18621-3","Isoform 3 of 60S ribosomal protein L17 ","RPL17",1674," 0.375 +/- 0.065","-1.415","0.135 +/- 0.005","-2.889","Non-Exosome","0.825"
"Q9Y490","Talin-1 ","TLN1",1675," 0.845 +/- 0.093","-0.243","0.444 +/- 0.032","-1.171","Non-Exosome","0.869"
"Q9Y4K0","Lysyl oxidase homolog 2 ","LOXL2",1676," 1.437 +/- 0.105"," 0.523","0.795 +/- 0.157","-0.332","Exosome","0.571"
"Q9Y4L1","Hypoxia up-regulated protein 1 ","HYOU1",1677," 0.604 +/- 0.025","-0.727","0.345 +/- 0.007","-1.533","Non-Exosome","0.923"
"Q9Y4P3","Transducin beta-like protein 2 ","TBL2",1678," 0.330 +/- 0.120","-1.599","0.158 +/- 0.028","-2.667","Non-Exosome","0.852"
"Q9Y4W2-2","Isoform 2 of Ribosomal biogenesis protein LAS1L ","LAS1L",1679," 0.310 +/- 0.080","-1.690","0.192 +/- 0.072","-2.383","Non-Exosome","0.877"
"Q9Y5B9","FACT complex subunit SPT16 ","SUPT16H",1680," 0.442 +/- 0.040","-1.179","0.310 +/- 0.020","-1.690","Non-Exosome","0.928"
"Q9Y5K5-2","Isoform 2 of Ubiquitin carboxyl-terminal hydrolase isozyme L5 ","UCHL5",1681," 0.377 +/- 0.167","-1.409","0.212 +/- 0.072","-2.240","Non-Exosome","0.903"
"Q9Y5M8","Signal recognition particle receptor subunit beta ","SRPRB",1682," 0.485 +/- 0.305","-1.044","0.371 +/- 0.176","-1.431","Non-Exosome","0.927"
"Q9Y624","Junctional adhesion molecule A ","F11R",1683," 1.100 +/- 0.070"," 0.138","0.923 +/- 0.323","-0.115","Exosome","0.512"
"Q8N4C6-11","Isoform 9 of Ninein ","NIN",1684," 1.395 +/- 0.315"," 0.480","1.280 +/- 0.060"," 0.356","Exosome","0.761"
"Q9Y625","Glypican-6 ","GPC6",1685," 1.710 +/- 0.000"," 0.774","1.035 +/- 0.185"," 0.050","Exosome","0.757"
"Q9Y639-1","Isoform 1 of Neuroplastin ","NPTN",1686," 0.520 +/- 0.280","-0.943","0.495 +/- 0.305","-1.014","Non-Exosome","0.908"
"Q9Y678","Coatomer subunit gamma-1 ","COPG1",1687," 0.416 +/- 0.066","-1.266","0.218 +/- 0.062","-2.195","Non-Exosome","0.909"
"Q9Y6C9","Mitochondrial carrier homolog 2 ","MTCH2",1688," 0.349 +/- 0.039","-1.520","0.198 +/- 0.046","-2.336","Non-Exosome","0.891"
"Q9Y6G9","Cytoplasmic dynein 1 light intermediate chain 1 ","DYNC1LI1",1689," 0.562 +/- 0.120","-0.832","0.359 +/- 0.109","-1.476","Non-Exosome","0.926"
"Q9HCP0-2","Isoform 1S of Casein kinase I isoform gamma-1 ","CSNK1G1",1690," 3.500 +/- 0.336"," 1.807","2.578 +/- 0.188"," 1.366","Exosome","0.879"
"Q9Y6M4-2","Isoform 2 of Casein kinase I isoform gamma-3 ","CSNK1G3",1691," 3.080 +/- 0.790"," 1.623","1.567 +/- 0.782"," 0.648","Exosome","0.873"
"Q9Y6N5","Sulfide:quinone oxidoreductase; mitochondrial ","SQRDL",1692," 0.542 +/- 0.012","-0.883","0.391 +/- 0.091","-1.356","Non-Exosome","0.924"
"Q9Y6W3","Calpain-7 ","CAPN7",1693," 1.297 +/- 0.123"," 0.375","0.998 +/- 0.142","-0.002","Exosome","0.636"
"P52815","39S ribosomal protein L12; mitochondrial ","MRPL12",1694," 0.440 +/- 0.054","-1.183","0.281 +/- 0.061","-1.831","Non-Exosome","0.926"
"B4DLN1","Mitochondrial dicarboxylate carrier ","SLC25A10",1695," 0.457 +/- 0.017","-1.131","0.285 +/- 0.088","-1.809","Non-Exosome","0.927"
"C9J9C1","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Fragment) ","PPP2R1A",1696," 0.636 +/- 0.064","-0.653","0.342 +/- 0.012","-1.547","Non-Exosome","0.920"
"G3V267","Maleylacetoacetate isomerase ","GSTZ1",1697," 0.760 +/- 0.060","-0.396","0.445 +/- 0.305","-1.168","Non-Exosome","0.888"
"G3V325","Pentatricopeptide repeat-containing protein 1; mitochondrial ","ATP5J2-PTCD1",1698," 0.632 +/- 0.168","-0.662","0.238 +/- 0.092","-2.071","Non-Exosome","0.905"
"O14879","Interferon-induced protein with tetratricopeptide repeats 3 ","IFIT3",1699," 0.420 +/- 0.140","-1.252","0.282 +/- 0.028","-1.824","Non-Exosome","0.925"
"O76024","Wolframin ","WFS1",1700," 0.265 +/- 0.185","-1.916","0.158 +/- 0.018","-2.659","Non-Exosome","0.829"
"Q8TAT6-2","Isoform 2 of Nuclear protein localization protein 4 homolog ","NPLOC4",1701," 0.513 +/- 0.163","-0.962","0.323 +/- 0.063","-1.629","Non-Exosome","0.929"
"Q96CS3","FAS-associated factor 2 ","FAF2",1702," 0.393 +/- 0.067","-1.346","0.367 +/- 0.097","-1.447","Non-Exosome","0.922"
"Q9NUQ8-2","Isoform 2 of ATP-binding cassette sub-family F member 3 ","ABCF3",1703," 0.314 +/- 0.009","-1.670","0.210 +/- 0.010","-2.252","Non-Exosome","0.889"
"O00629","Importin subunit alpha-3 ","KPNA4",1704," 0.360 +/- 0.060","-1.474","0.305 +/- 0.030","-1.713","Non-Exosome","0.919"
"O95470","Sphingosine-1-phosphate lyase 1 ","SGPL1",1705," 0.460 +/- 0.100","-1.120","0.220 +/- 0.050","-2.184","Non-Exosome","0.910"
"P51553-2","Isoform 2 of Isocitrate dehydrogenase [NAD] subunit gamma; mitochondrial ","IDH3G",1706," 0.362 +/- 0.012","-1.464","0.168 +/- 0.038","-2.578","Non-Exosome","0.869"
"Q13362-5","Isoform 5 of Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform ","PPP2R5C",1707," 0.620 +/- 0.160","-0.690","0.410 +/- 0.290","-1.286","Non-Exosome","0.916"
"Q86TM6-2","Isoform 2 of E3 ubiquitin-protein ligase synoviolin ","SYVN1",1708," 0.595 +/- 0.025","-0.749","0.345 +/- 0.045","-1.535","Non-Exosome","0.924"
"Q8N2F6-2","Isoform 2 of Armadillo repeat-containing protein 10 ","ARMC10",1709," 0.305 +/- 0.025","-1.713","0.130 +/- 0.050","-2.943","Non-Exosome","0.803"
"Q16706","Alpha-mannosidase 2 ","MAN2A1",1710," 0.588 +/- 0.208","-0.767","0.590 +/- 0.230","-0.761","Non-Exosome","0.876"
"Q8NEM2","SHC SH2 domain-binding protein 1 ","SHCBP1",1711," 1.103 +/- 0.158"," 0.141","1.663 +/- 0.158"," 0.733","Exosome","0.742"
"Q9UL25","Ras-related protein Rab-21 ","RAB21",1712," 1.080 +/- 0.150"," 0.111","0.480 +/- 0.040","-1.059","Non-Exosome","0.785"
"Q2LD37-4","Isoform 4 of Uncharacterized protein KIAA1109 ","KIAA1109",1713," 0.808 +/- 0.122","-0.308","0.455 +/- 0.095","-1.136","Non-Exosome","0.875"
"Q92614-4","Isoform 4 of Unconventional myosin-XVIIIa ","MYO18A",1714," 0.337 +/- 0.045","-1.569","0.160 +/- 0.052","-2.648","Non-Exosome","0.856"
"O00154-2","Isoform 2 of Cytosolic acyl coenzyme A thioester hydrolase ","ACOT7",1715," 0.977 +/- 0.037","-0.034","0.893 +/- 0.777","-0.163","Non-Exosome","0.570"
"Q13445","Transmembrane emp24 domain-containing protein 1 ","TMED1",1716," 0.372 +/- 0.162","-1.425","0.185 +/- 0.035","-2.434","Non-Exosome","0.886"
"Q9UL26","Ras-related protein Rab-22A ","RAB22A",1717," 1.245 +/- 0.185"," 0.316","0.955 +/- 0.575","-0.066","Exosome","0.595"
"O60293-2","Isoform 2 of Zinc finger C3H1 domain-containing protein ","ZFC3H1",1718," 0.243 +/- 0.033","-2.039","0.175 +/- 0.005","-2.515","Non-Exosome","0.832"
"Q9UQ35","Serine/arginine repetitive matrix protein 2 ","SRRM2",1719," 0.810 +/- 0.530","-0.304","0.245 +/- 0.035","-2.029","Non-Exosome","0.877"
"Q9H930-1","Isoform 1 of Nuclear body protein SP140-like protein ","SP140L",1720," 0.860 +/- 0.580","-0.218","0.158 +/- 0.092","-2.667","Non-Exosome","0.788"
"P49406","39S ribosomal protein L19; mitochondrial ","MRPL19",1721," 0.495 +/- 0.175","-1.014","0.379 +/- 0.049","-1.401","Non-Exosome","0.927"
"Q13111-2","Isoform 2 of Chromatin assembly factor 1 subunit A ","CHAF1A",1722," 0.462 +/- 0.138","-1.112","0.252 +/- 0.008","-1.986","Non-Exosome","0.921"
"O60518","Ran-binding protein 6 ","RANBP6",1723," 0.472 +/- 0.018","-1.084","0.183 +/- 0.013","-2.447","Non-Exosome","0.887"
"Q96PD2-2","Isoform 2 of Discoidin; CUB and LCCL domain-containing protein 2 ","DCBLD2",1724," 0.420 +/- 0.140","-1.252","0.775 +/- 0.415","-0.368","Non-Exosome","0.813"
"O75815-2","Isoform 2 of Breast cancer anti-estrogen resistance protein 3 ","BCAR3",1725," 0.575 +/- 0.045","-0.798","0.435 +/- 0.345","-1.201","Non-Exosome","0.916"
"Q9H2G2-2","Isoform 2 of STE20-like serine/threonine-protein kinase ","SLK",1726," 0.522 +/- 0.008","-0.936","0.312 +/- 0.018","-1.678","Non-Exosome","0.928"
"P45877","Peptidyl-prolyl cis-trans isomerase C ","PPIC",1727," 0.353 +/- 0.019","-1.504","0.193 +/- 0.017","-2.371","Non-Exosome","0.889"
"O60732","Melanoma-associated antigen C1 ","MAGEC1",1728," 0.330 +/- 0.100","-1.599","0.215 +/- 0.115","-2.218","Non-Exosome","0.896"
"Q9P016","Thymocyte nuclear protein 1 ","THYN1",1729," 0.565 +/- 0.215","-0.824","0.305 +/- 0.095","-1.713","Non-Exosome","0.925"
"Q9Y3C8","Ubiquitin-fold modifier-conjugating enzyme 1 ","UFC1",1730," 0.750 +/- 0.140","-0.415","0.680 +/- 0.210","-0.556","Non-Exosome","0.801"
"Q9NXN4-2","Isoform 2 of Ganglioside-induced differentiation-associated protein 2 ","GDAP2",1731," 0.634 +/- 0.099","-0.657","0.499 +/- 0.244","-1.002","Non-Exosome","0.896"
"Q9NTX5","Ethylmalonyl-CoA decarboxylase ","ECHDC1",1732," 0.280 +/- 0.030","-1.837","0.090 +/- 0.020","-3.474","Non-Exosome","0.691"
"Q9Y239","Nucleotide-binding oligomerization domain-containing protein 1 ","NOD1",1733," 1.268 +/- 0.412"," 0.343","0.546 +/- 0.079","-0.873","Non-Exosome","0.676"
"Q9Y289","Sodium-dependent multivitamin transporter ","SLC5A6",1734," 0.562 +/- 0.158","-0.830","0.420 +/- 0.180","-1.252","Non-Exosome","0.920"
"Q8TF09","Dynein light chain roadblock-type 2 ","DYNLRB2",1735," 0.985 +/- 0.805","-0.022","0.040 +/- 0.020","-4.644","Exosome","0.515"
"Q13144","Translation initiation factor eIF-2B subunit epsilon ","EIF2B5",1736," 0.340 +/- 0.110","-1.556","0.260 +/- 0.200","-1.943","Non-Exosome","0.911"
"Q6PGP7","Tetratricopeptide repeat protein 37 ","TTC37",1737," 1.466 +/- 0.156"," 0.552","1.115 +/- 0.025"," 0.157","Exosome","0.734"
"O15127","Secretory carrier-associated membrane protein 2 ","SCAMP2",1738," 0.550 +/- 0.035","-0.862","0.260 +/- 0.085","-1.943","Non-Exosome","0.920"
"O15400-2","Isoform 2 of Syntaxin-7 ","STX7",1739," 0.495 +/- 0.115","-1.014","0.395 +/- 0.035","-1.340","Non-Exosome","0.925"
"O43172-2","Isoform 2 of U4/U6 small nuclear ribonucleoprotein Prp4 ","PRPF4",1740," 0.662 +/- 0.008","-0.594","0.302 +/- 0.162","-1.725","Non-Exosome","0.915"
"O43291-2","Isoform 2 of Kunitz-type protease inhibitor 2 ","SPINT2",1741," 1.420 +/- 0.630"," 0.506","2.015 +/- 0.575"," 1.011","Exosome","0.828"
"O43772","Mitochondrial carnitine/acylcarnitine carrier protein ","SLC25A20",1742," 0.500 +/- 0.050","-1.000","0.450 +/- 0.120","-1.152","Non-Exosome","0.917"
"O60234","Glia maturation factor gamma ","GMFG",1743," 0.785 +/- 0.075","-0.349","0.295 +/- 0.115","-1.761","Non-Exosome","0.895"
"O60487","Myelin protein zero-like protein 2 ","MPZL2",1744," 1.005 +/- 0.465"," 0.007","1.120 +/- 0.170"," 0.163","Exosome","0.568"
"O75494-2","Isoform 2 of Serine/arginine-rich splicing factor 10 ","SRSF10",1745," 0.785 +/- 0.025","-0.349","0.385 +/- 0.275","-1.377","Non-Exosome","0.894"
"O75521-2","Isoform 2 of Enoyl-CoA delta isomerase 2; mitochondrial ","ECI2",1746," 0.380 +/- 0.130","-1.396","0.140 +/- 0.090","-2.837","Non-Exosome","0.834"
"P02656","Apolipoprotein C-III ","APOC3",1747," 0.685 +/- 0.045","-0.546","0.415 +/- 0.095","-1.269","Non-Exosome","0.907"
"P14406","Cytochrome c oxidase subunit 7A2; mitochondrial ","COX7A2",1748," 0.314 +/- 0.070","-1.673","0.115 +/- 0.009","-3.116","Non-Exosome","0.773"
"P19525-2","Isoform 2 of Interferon-induced; double-stranded RNA-activated protein kinase ","EIF2AK2",1749," 0.295 +/- 0.005","-1.761","0.150 +/- 0.030","-2.737","Non-Exosome","0.832"
"P19623","Spermidine synthase ","SRM",1750," 0.750 +/- 0.167","-0.415","0.387 +/- 0.007","-1.371","Non-Exosome","0.900"
"P21397-2","Isoform 2 of Amine oxidase [flavin-containing] A ","MAOA",1751," 0.355 +/- 0.105","-1.494","0.270 +/- 0.040","-1.889","Non-Exosome","0.916"
"P26885","Peptidyl-prolyl cis-trans isomerase FKBP2 ","FKBP2",1752," 0.762 +/- 0.028","-0.391","0.410 +/- 0.010","-1.286","Non-Exosome","0.894"
"P29279-2","Isoform 2 of Connective tissue growth factor ","CTGF",1753," 0.390 +/- 0.050","-1.358","0.085 +/- 0.015","-3.556","Non-Exosome","0.687"
"P29622","Kallistatin ","SERPINA4",1754," 2.895 +/- 0.761"," 1.533","1.135 +/- 0.141"," 0.182","Exosome","0.836"
"P49736","DNA replication licensing factor MCM2 ","MCM2",1755," 0.778 +/- 0.432","-0.362","0.623 +/- 0.027","-0.682","Non-Exosome","0.819"
"P52758","Ribonuclease UK114 ","HRSP12",1756," 0.475 +/- 0.045","-1.074","0.525 +/- 0.145","-0.930","Non-Exosome","0.901"
"Q06203","Amidophosphoribosyltransferase ","PPAT",1757," 0.635 +/- 0.075","-0.655","0.462 +/- 0.162","-1.112","Non-Exosome","0.905"
"Q13428-2","Isoform 2 of Treacle protein ","TCOF1",1758," 0.690 +/- 0.420","-0.535","0.505 +/- 0.225","-0.986","Non-Exosome","0.886"
"Q14669-2","Isoform 2 of E3 ubiquitin-protein ligase TRIP12 ","TRIP12",1759," 0.415 +/- 0.235","-1.269","0.230 +/- 0.150","-2.120","Non-Exosome","0.913"
"Q15369-2","Isoform 2 of Transcription elongation factor B polypeptide 1 ","TCEB1",1760," 0.390 +/- 0.040","-1.358","0.250 +/- 0.020","-2.000","Non-Exosome","0.917"
"Q6NSJ5","Volume-regulated anion channel subunit LRRC8E ","LRRC8E",1761," 0.480 +/- 0.040","-1.059","0.475 +/- 0.275","-1.074","Non-Exosome","0.913"
"Q86VE9-2","Isoform 2 of Serine incorporator 5 ","SERINC5",1762," 1.827 +/- 0.738"," 0.870","1.195 +/- 0.425"," 0.257","Exosome","0.812"
"Q86Y82","Syntaxin-12 ","STX12",1763," 0.570 +/- 0.150","-0.811","0.300 +/- 0.170","-1.737","Non-Exosome","0.924"
"Q8IY95-2","Isoform 2 of Transmembrane protein 192 ","TMEM192",1764," 0.595 +/- 0.135","-0.749","0.425 +/- 0.015","-1.234","Non-Exosome","0.916"
"Q8NE86-2","Isoform 2 of Calcium uniporter protein; mitochondrial ","MCU",1765," 0.205 +/- 0.095","-2.286","0.405 +/- 0.025","-1.304","Non-Exosome","0.814"
"Q969L2","Protein MAL2 ","MAL2",1766," 1.031 +/- 0.566"," 0.044","0.398 +/- 0.128","-1.328","Non-Exosome","0.830"
"Q96K37","Solute carrier family 35 member E1 ","SLC35E1",1767," 0.272 +/- 0.048","-1.876","0.158 +/- 0.038","-2.667","Non-Exosome","0.832"
"Q96SB4-3","Isoform 1 of SRSF protein kinase 1 ","SRPK1",1768," 0.480 +/- 0.210","-1.059","0.265 +/- 0.105","-1.916","Non-Exosome","0.924"
"Q9BQT8-2","Isoform 2 of Mitochondrial 2-oxodicarboxylate carrier ","SLC25A21",1769," 0.245 +/- 0.005","-2.029","0.085 +/- 0.005","-3.556","Non-Exosome","0.662"
"Q9BSH4","Translational activator of cytochrome c oxidase 1 ","TACO1",1770," 0.375 +/- 0.065","-1.415","0.230 +/- 0.030","-2.120","Non-Exosome","0.910"
"Q9BX68","Histidine triad nucleotide-binding protein 2; mitochondrial ","HINT2",1771," 0.232 +/- 0.032","-2.105","0.200 +/- 0.040","-2.322","Non-Exosome","0.841"
"Q9GZY8-2","Isoform 2 of Mitochondrial fission factor ","MFF",1772," 0.390 +/- 0.090","-1.358","0.100 +/- 0.020","-3.322","Non-Exosome","0.739"
"Q9HC21-2","Isoform 2 of Mitochondrial thiamine pyrophosphate carrier ","SLC25A19",1773," 0.842 +/- 0.502","-0.247","0.212 +/- 0.092","-2.234","Non-Exosome","0.852"
"Q9NRG9-2","Isoform 2 of Aladin ","AAAS",1774," 0.285 +/- 0.015","-1.811","0.118 +/- 0.002","-3.089","Non-Exosome","0.770"
"Q9NWM8","Peptidyl-prolyl cis-trans isomerase FKBP14 ","FKBP14",1775," 0.375 +/- 0.065","-1.415","0.140 +/- 0.070","-2.837","Non-Exosome","0.833"
"Q9NXS2-3","Isoform 2 of Glutaminyl-peptide cyclotransferase-like protein ","QPCTL",1776," 0.503 +/- 0.183","-0.990","0.236 +/- 0.101","-2.084","Non-Exosome","0.915"
"Q9NY33-4","Isoform 4 of Dipeptidyl peptidase 3 ","DPP3",1777," 0.925 +/- 0.415","-0.112","0.570 +/- 0.030","-0.811","Non-Exosome","0.796"
"Q9UHN6-2","Isoform 2 of Transmembrane protein 2 ","TMEM2",1778," 1.940 +/- 0.900"," 0.956","1.040 +/- 0.470"," 0.057","Exosome","0.787"
"Q9UID3-2","Isoform 2 of Vacuolar protein sorting-associated protein 51 homolog ","VPS51",1779," 0.710 +/- 0.010","-0.494","0.355 +/- 0.075","-1.494","Non-Exosome","0.909"
"Q9Y3C6","Peptidyl-prolyl cis-trans isomerase-like 1 ","PPIL1",1780," 0.392 +/- 0.088","-1.349","0.208 +/- 0.002","-2.269","Non-Exosome","0.902"
"Q9Y6A9","Signal peptidase complex subunit 1 ","SPCS1",1781," 0.745 +/- 0.035","-0.425","0.630 +/- 0.060","-0.667","Non-Exosome","0.826"
"Q9Y6K5","2'-5'-oligoadenylate synthase 3 ","OAS3",1782," 0.460 +/- 0.140","-1.120","0.245 +/- 0.155","-2.029","Non-Exosome","0.919"
"Q96KP4-2","Isoform 2 of Cytosolic non-specific dipeptidase ","CNDP2",1783," 0.520 +/- 0.070","-0.943","0.278 +/- 0.062","-1.849","Non-Exosome","0.925"
"Q9NVM1","Protein eva-1 homolog B ","EVA1B",1784," 0.848 +/- 0.478","-0.239","1.008 +/- 0.162"," 0.011","Non-Exosome","0.572"
"Q9H8M9","Protein eva-1 homolog A ","EVA1A",1785," 0.848 +/- 0.478","-0.239","1.008 +/- 0.162"," 0.011","Non-Exosome","0.572"
"Q96AA3","Protein RFT1 homolog ","RFT1",1786," 0.475 +/- 0.205","-1.074","0.230 +/- 0.030","-2.120","Non-Exosome","0.914"
"O43402","ER membrane protein complex subunit 8 ","EMC8",1787," 0.530 +/- 0.160","-0.916","0.220 +/- 0.080","-2.184","Non-Exosome","0.907"
"P02788-2","Isoform DeltaLf of Lactotransferrin ","LTF",1788," 0.730 +/- 0.170","-0.454","0.450 +/- 0.120","-1.152","Non-Exosome","0.893"
"P51965-2","Isoform 2 of Ubiquitin-conjugating enzyme E2 E1 ","UBE2E1",1789," 0.405 +/- 0.245","-1.304","0.265 +/- 0.025","-1.916","Non-Exosome","0.921"
"Q07817-2","Isoform Bcl-X(S) of Bcl-2-like protein 1 ","BCL2L1",1790," 0.315 +/- 0.025","-1.667","0.115 +/- 0.015","-3.120","Non-Exosome","0.773"
"Q13257","Mitotic spindle assembly checkpoint protein MAD2A ","MAD2L1",1791," 0.460 +/- 0.420","-1.120","0.640 +/- 0.490","-0.644","Non-Exosome","0.866"
"Q4KWH8-2","Isoform 2 of 1-phosphatidylinositol 4;5-bisphosphate phosphodiesterase eta-1 ","PLCH1",1792," 0.278 +/- 0.012","-1.848","0.119 +/- 0.019","-3.076","Non-Exosome","0.769"
"Q8TEA8","D-tyrosyl-tRNA(Tyr) deacylase 1 ","DTD1",1793," 0.475 +/- 0.105","-1.074","0.255 +/- 0.005","-1.971","Non-Exosome","0.922"
"Q96IG2-2","Isoform 2 of F-box/LRR-repeat protein 20 ","FBXL20",1794," 1.070 +/- 0.690"," 0.098","0.575 +/- 0.215","-0.798","Non-Exosome","0.737"
"Q99661","Kinesin-like protein KIF2C ","KIF2C",1795," 0.475 +/- 0.215","-1.074","0.260 +/- 0.100","-1.943","Non-Exosome","0.923"
"Q9BSF4","Uncharacterized protein C19orf52 ","C19orf52",1796," 0.430 +/- 0.170","-1.218","0.375 +/- 0.165","-1.415","Non-Exosome","0.925"
"Q9GZZ9-2","Isoform 2 of Ubiquitin-like modifier-activating enzyme 5 ","UBA5",1797," 0.140 +/- 0.030","-2.837","0.215 +/- 0.015","-2.218","Non-Exosome","0.711"
"Q9HAB3","Solute carrier family 52; riboflavin transporter; member 2 ","SLC52A2",1798," 1.089 +/- 0.176"," 0.123","0.652 +/- 0.112","-0.616","Non-Exosome","0.678"
"Q9NPA8-2","Isoform 2 of Transcription and mRNA export factor ENY2 ","ENY2",1799," 0.245 +/- 0.025","-2.029","0.150 +/- 0.020","-2.737","Non-Exosome","0.806"
"Q9NVR2","Integrator complex subunit 10 ","INTS10",1800," 0.460 +/- 0.170","-1.120","0.530 +/- 0.190","-0.916","Non-Exosome","0.899"
"Q9NZR1-2","Isoform 2 of Tropomodulin-2 ","TMOD2",1801," 2.730 +/- 0.624"," 1.449","1.406 +/- 0.264"," 0.491","Exosome","0.866"
"Q9UQN3-2","Isoform 2 of Charged multivesicular body protein 2b ","CHMP2B",1802," 1.800 +/- 0.080"," 0.848","1.275 +/- 0.255"," 0.350","Exosome","0.823"
"Q9Y320-2","Isoform 2 of Thioredoxin-related transmembrane protein 2 ","TMX2",1803," 0.215 +/- 0.125","-2.218","0.145 +/- 0.015","-2.786","Non-Exosome","0.775"
