"Uniprot Accession","Gene Name","Description","Gene Ontology Classifications","SVM Classification"
"Q9NX24","NHP2","H/ACA ribonucleoprotein complex subunit 2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9NX40-2","OCIAD1","Isoform 2 of OCIA domain-containing protein 1 ","","Non-Exosome"
"Q9NX63","CHCHD3","Coiled-coil-helix-coiled-coil-helix domain-containing protein 3; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9NXE4-2","SMPD4","Isoform 2 of Sphingomyelin phosphodiesterase 4 ","","Non-Exosome"
"Q9NXF1-2","TEX10","Isoform 2 of Testis-expressed sequence 10 protein ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"D6RAZ7","CLDND1","Claudin domain-containing protein 1 ","","Exosome"
"Q9NY35-2","CLDND1","Isoform 2 of Claudin domain-containing protein 1 ","","Exosome"
"Q9NYL9","TMOD3","Tropomodulin-3 ","","Non-Exosome"
"Q9NYU1","UGGT2","UDP-glucose:glycoprotein glucosyltransferase 2 ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"Q9NYU2-2","UGGT1","Isoform 2 of UDP-glucose:glycoprotein glucosyltransferase 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"M0QXM3","TECR","Very-long-chain enoyl-CoA reductase (Fragment) ","","Non-Exosome"
"Q9NZ01","TECR","Very-long-chain enoyl-CoA reductase ","","Non-Exosome"
"Q9NZ08-2","ERAP1","Isoform 2 of Endoplasmic reticulum aminopeptidase 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen; GO:0005829 Cytosol","Non-Exosome"
"Q9NZB2-4","FAM120A","Isoform D of Constitutive coactivator of PPAR-gamma-like protein 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9NZJ7-2","MTCH1","Isoform 2 of Mitochondrial carrier homolog 1 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9NZM1-6","MYOF","Isoform 6 of Myoferlin ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q15811-10","ITSN1","Isoform 10 of Intersectin-1 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Exosome"
"Q9NZM3-2","ITSN2","Isoform 2 of Intersectin-2 ","","Exosome"
"H3BLZ2","DBNDD1","Dysbindin domain-containing protein 1 ","","Exosome"
"Q9NZZ3-2","CHMP5","Isoform 2 of Charged multivesicular body protein 5 ","GO:0005829 Cytosol","Exosome"
"Q9P015","MRPL15","39S ribosomal protein L15; mitochondrial ","","Non-Exosome"
"Q6FI81-3","CIAPIN1","Isoform 3 of Anamorsin ","","Non-Exosome"
"Q969R5","L3MBTL2","Lethal(3)malignant brain tumor-like protein 2 ","","Non-Exosome"
"Q9P035","PTPLAD1","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 ","","Non-Exosome"
"Q9P0I2-2","EMC3","Isoform 2 of ER membrane protein complex subunit 3 ","","Non-Exosome"
"Q9P0J0","NDUFA13","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9Y6E0-2","STK24","Isoform A of Serine/threonine-protein kinase 24 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"Q9P289","MST4","Serine/threonine-protein kinase MST4 ","GO:0005829 Cytosol","Non-Exosome"
"Q9P2E9-2","RRBP1","Isoform 1 of Ribosome-binding protein 1 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"Q9Y6Y8-2","SEC23IP","Isoform 2 of SEC23-interacting protein ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9P2J5","LARS","Leucine--tRNA ligase; cytoplasmic ","GO:0005829 Cytosol","Non-Exosome"
"Q9P2R7-2","SUCLA2","Isoform 2 of Succinyl-CoA ligase [ADP-forming] subunit beta; mitochondrial ","","Non-Exosome"
"Q9UBB4-2","ATXN10","Isoform 2 of Ataxin-10 ","","Non-Exosome"
"Q9UBC2-2","EPS15L1","Isoform 2 of Epidermal growth factor receptor substrate 15-like 1 ","GO:0005886 Plasma Membrane","Exosome"
"Q9UBI6","GNG12","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9UBQ0-2","VPS29","Isoform 2 of Vacuolar protein sorting-associated protein 29 ","","Non-Exosome"
"Q9UBU9","NXF1","Nuclear RNA export factor 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9UDR5","AASS","Alpha-aminoadipic semialdehyde synthase; mitochondrial ","","Non-Exosome"
"Q9UDW1","UQCR10","Cytochrome b-c1 complex subunit 9 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9UDY2-2","TJP2","Isoform A2 of Tight junction protein ZO-2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9UFC0","LRWD1","Leucine-rich repeat and WD repeat-containing protein 1 ","","Non-Exosome"
"Q9UH99-2","SUN2","Isoform 2 of SUN domain-containing protein 2 ","GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane","Non-Exosome"
"C9JQJ4","SEPT2","Septin-2 (Fragment) ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"Q15019-2","SEPT2","Isoform 2 of Septin-2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"Q9UHD8-2","SEPT9","Isoform 2 of Septin-9 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9UHG3","PCYOX1","Prenylcysteine oxidase 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9UHQ9","CYB5R1","NADH-cytochrome b5 reductase 1 ","","Non-Exosome"
"Q9UHX1-2","PUF60","Isoform 2 of Poly(U)-binding-splicing factor PUF60 ","","Non-Exosome"
"Q9UI30-2","TRMT112","Isoform 2 of tRNA methyltransferase 112 homolog ","","Non-Exosome"
"Q9UIJ7","AK3","GTP:AMP phosphotransferase AK3; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q9HCM2","PLXNA4","Plexin-A4 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9UIW2","PLXNA1","Plexin-A1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O75746-2","SLC25A12","Isoform 2 of Calcium-binding mitochondrial carrier protein Aralar1 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9UJS0-2","SLC25A13","Isoform 2 of Calcium-binding mitochondrial carrier protein Aralar2 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q9UJV9","DDX41","Probable ATP-dependent RNA helicase DDX41 ","","Non-Exosome"
"Q9UJZ1-2","STOML2","Isoform 2 of Stomatin-like protein 2; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"E9PM90","VPS28","Vacuolar protein sorting-associated protein 28 homolog (Fragment) ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q9UK41-2","VPS28","Isoform 2 of Vacuolar protein sorting-associated protein 28 homolog ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q9UKF6","CPSF3","Cleavage and polyadenylation specificity factor subunit 3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9UKS6","PACSIN3","Protein kinase C and casein kinase substrate in neurons protein 3 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9UKV3-2","ACIN1","Isoform 2 of Apoptotic chromatin condensation inducer in the nucleus ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"Q9UL15-2","BAG5","Isoform 2 of BAG family molecular chaperone regulator 5 ","","Non-Exosome"
"Q9ULC5-3","ACSL5","Isoform 2 of Long-chain-fatty-acid--CoA ligase 5 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9ULT8","HECTD1","E3 ubiquitin-protein ligase HECTD1 ","","Non-Exosome"
"Q6QEF8-2","CORO6","Isoform 2 of Coronin-6 ","","Non-Exosome"
"Q9ULV4-2","CORO1C","Isoform 2 of Coronin-1C ","","Non-Exosome"
"Q9UMS4","PRPF19","Pre-mRNA-processing factor 19 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9UNF0-2","PACSIN2","Isoform 2 of Protein kinase C and casein kinase substrate in neurons protein 2 ","GO:0005829 Cytosol","Non-Exosome"
"Q9UNM6-2","PSMD13","Isoform 2 of 26S proteasome non-ATPase regulatory subunit 13 ","GO:0005829 Cytosol","Non-Exosome"
"Q9UNX4","WDR3","WD repeat-containing protein 3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9UNZ2-5","NSFL1C","Isoform 3 of NSFL1 cofactor p47 ","","Non-Exosome"
"Q9UPN3-2","MACF1","Isoform 2 of Microtubule-actin cross-linking factor 1; isoforms 1/2/3/5 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9UQ80","PA2G4","Proliferation-associated protein 2G4 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9UQE7","SMC3","Structural maintenance of chromosomes protein 3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0031012 Extracellular Matrix","Non-Exosome"
"Q9Y223-2","GNE","Isoform 2 of Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase ","GO:0005829 Cytosol","Non-Exosome"
"Q9Y224","C14orf166","UPF0568 protein C14orf166 ","","Non-Exosome"
"Q9Y230","RUVBL2","RuvB-like 2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9Y262-2","EIF3L","Isoform 2 of Eukaryotic translation initiation factor 3 subunit L ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9Y265","RUVBL1","RuvB-like 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9Y277-2","VDAC3","Isoform 2 of Voltage-dependent anion-selective channel protein 3 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9Y296","TRAPPC4","Trafficking protein particle complex subunit 4 ","","Non-Exosome"
"Q9Y2G5-1","POFUT2","Isoform A of GDP-fucose protein O-fucosyltransferase 2 ","","Non-Exosome"
"C9JNT3","GSTK1","Glutathione S-transferase kappa 1 (Fragment) ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9Y2Q3-3","GSTK1","Isoform 3 of Glutathione S-transferase kappa 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9Y2Q3-4","GSTK1","Isoform 4 of Glutathione S-transferase kappa 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"E9PFN5","GSTK1","Glutathione S-transferase kappa 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9Y2Q3-2","GSTK1","Isoform 2 of Glutathione S-transferase kappa 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9Y2Q3","GSTK1","Glutathione S-transferase kappa 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9Y2R9","MRPS7","28S ribosomal protein S7; mitochondrial ","GO:0005829 Cytosol","Non-Exosome"
"Q9NYF8-2","BCLAF1","Isoform 2 of Bcl-2-associated transcription factor 1 ","","Non-Exosome"
"Q9Y2Z4","YARS2","Tyrosine--tRNA ligase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q9Y305-2","ACOT9","Isoform 2 of Acyl-coenzyme A thioesterase 9; mitochondrial ","","Non-Exosome"
"Q9Y371-2","SH3GLB1","Isoform 2 of Endophilin-B1 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9Y3A5","SBDS","Ribosome maturation protein SBDS ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9Y3B7","MRPL11","39S ribosomal protein L11; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q9Y3C1-2","NOP16","Isoform 2 of Nucleolar protein 16 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9Y3E7","CHMP3","Charged multivesicular body protein 3 ","","Non-Exosome"
"Q9Y3F4","STRAP","Serine-threonine kinase receptor-associated protein ","","Non-Exosome"
"Q9Y3I0","RTCB","tRNA-splicing ligase RtcB homolog ","","Non-Exosome"
"Q9Y3U8","RPL36","60S ribosomal protein L36 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"Q9Y3Z3-3","SAMHD1","Isoform 3 of Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 ","","Non-Exosome"
"Q9Y446-2","PKP3","Isoform PKP3b of Plakophilin-3 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P18621-3","RPL17","Isoform 3 of 60S ribosomal protein L17 ","GO:0005829 Cytosol","Non-Exosome"
"Q9Y490","TLN1","Talin-1 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"Q9Y4K0","LOXL2","Lysyl oxidase homolog 2 ","",NA
"Q9Y4L1","HYOU1","Hypoxia up-regulated protein 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"Q9Y4P3","TBL2","Transducin beta-like protein 2 ","","Non-Exosome"
"Q9Y4W2-2","LAS1L","Isoform 2 of Ribosomal biogenesis protein LAS1L ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9Y5B9","SUPT16H","FACT complex subunit SPT16 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9Y5K5-2","UCHL5","Isoform 2 of Ubiquitin carboxyl-terminal hydrolase isozyme L5 ","","Non-Exosome"
"Q9Y5M8","SRPRB","Signal recognition particle receptor subunit beta ","","Non-Exosome"
"Q9Y624","F11R","Junctional adhesion molecule A ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q8N4C6-11","NIN","Isoform 9 of Ninein ","","Exosome"
"Q9Y625","GPC6","Glypican-6 ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Exosome"
"Q9Y639-1","NPTN","Isoform 1 of Neuroplastin ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9Y678","COPG1","Coatomer subunit gamma-1 ","","Non-Exosome"
"Q9Y6C9","MTCH2","Mitochondrial carrier homolog 2 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9Y6G9","DYNC1LI1","Cytoplasmic dynein 1 light intermediate chain 1 ","","Non-Exosome"
"Q9HCP0-2","CSNK1G1","Isoform 1S of Casein kinase I isoform gamma-1 ","","Exosome"
"Q9Y6M4-2","CSNK1G3","Isoform 2 of Casein kinase I isoform gamma-3 ","","Exosome"
"Q9Y6N5","SQRDL","Sulfide:quinone oxidoreductase; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"Q9Y6W3","CAPN7","Calpain-7 ","","Exosome"
"P52815","MRPL12","39S ribosomal protein L12; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"B4DLN1","SLC25A10","Mitochondrial dicarboxylate carrier ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"C9J9C1","PPP2R1A","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Fragment) ","GO:0005829 Cytosol","Non-Exosome"
"G3V267","GSTZ1","Maleylacetoacetate isomerase ","GO:0005829 Cytosol","Non-Exosome"
"G3V325","ATP5J2-PTCD1","Pentatricopeptide repeat-containing protein 1; mitochondrial ","","Non-Exosome"
"O14879","IFIT3","Interferon-induced protein with tetratricopeptide repeats 3 ","","Non-Exosome"
"O76024","WFS1","Wolframin ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"Q8TAT6-2","NPLOC4","Isoform 2 of Nuclear protein localization protein 4 homolog ","GO:0005829 Cytosol","Non-Exosome"
"Q96CS3","FAF2","FAS-associated factor 2 ","","Non-Exosome"
"Q9NUQ8-2","ABCF3","Isoform 2 of ATP-binding cassette sub-family F member 3 ","","Non-Exosome"
"O00629","KPNA4","Importin subunit alpha-3 ","","Non-Exosome"
"O95470","SGPL1","Sphingosine-1-phosphate lyase 1 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"P51553-2","IDH3G","Isoform 2 of Isocitrate dehydrogenase [NAD] subunit gamma; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"Q13362-5","PPP2R5C","Isoform 5 of Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform ","","Non-Exosome"
"Q86TM6-2","SYVN1","Isoform 2 of E3 ubiquitin-protein ligase synoviolin ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q8N2F6-2","ARMC10","Isoform 2 of Armadillo repeat-containing protein 10 ","","Non-Exosome"
"Q16706","MAN2A1","Alpha-mannosidase 2 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane","Non-Exosome"
"Q8NEM2","SHCBP1","SHC SH2 domain-binding protein 1 ","","Exosome"
"Q9UL25","RAB21","Ras-related protein Rab-21 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0010008 Endosome Membrane","Non-Exosome"
"Q2LD37-4","KIAA1109","Isoform 4 of Uncharacterized protein KIAA1109 ","","Non-Exosome"
"Q92614-4","MYO18A","Isoform 4 of Unconventional myosin-XVIIIa ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"O00154-2","ACOT7","Isoform 2 of Cytosolic acyl coenzyme A thioester hydrolase ","","Non-Exosome"
"Q13445","TMED1","Transmembrane emp24 domain-containing protein 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9UL26","RAB22A","Ras-related protein Rab-22A ","GO:0005886 Plasma Membrane","Exosome"
"O60293-2","ZFC3H1","Isoform 2 of Zinc finger C3H1 domain-containing protein ","","Non-Exosome"
"Q9UQ35","SRRM2","Serine/arginine repetitive matrix protein 2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q9H930-1","SP140L","Isoform 1 of Nuclear body protein SP140-like protein ","","Non-Exosome"
"P49406","MRPL19","39S ribosomal protein L19; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane","Non-Exosome"
"Q13111-2","CHAF1A","Isoform 2 of Chromatin assembly factor 1 subunit A ","","Non-Exosome"
"O60518","RANBP6","Ran-binding protein 6 ","","Non-Exosome"
"Q96PD2-2","DCBLD2","Isoform 2 of Discoidin; CUB and LCCL domain-containing protein 2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O75815-2","BCAR3","Isoform 2 of Breast cancer anti-estrogen resistance protein 3 ","","Non-Exosome"
"Q9H2G2-2","SLK","Isoform 2 of STE20-like serine/threonine-protein kinase ","GO:0005886 Plasma Membrane","Non-Exosome"
"P45877","PPIC","Peptidyl-prolyl cis-trans isomerase C ","","Non-Exosome"
"O60732","MAGEC1","Melanoma-associated antigen C1 ","","Non-Exosome"
"Q9P016","THYN1","Thymocyte nuclear protein 1 ","","Non-Exosome"
"Q9Y3C8","UFC1","Ubiquitin-fold modifier-conjugating enzyme 1 ","","Non-Exosome"
"Q9NXN4-2","GDAP2","Isoform 2 of Ganglioside-induced differentiation-associated protein 2 ","","Non-Exosome"
"Q9NTX5","ECHDC1","Ethylmalonyl-CoA decarboxylase ","","Non-Exosome"
"Q9Y239","NOD1","Nucleotide-binding oligomerization domain-containing protein 1 ","","Non-Exosome"
"Q9Y289","SLC5A6","Sodium-dependent multivitamin transporter ","GO:0031090 Organelle Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q8TF09","DYNLRB2","Dynein light chain roadblock-type 2 ","","Non-Exosome"
"Q13144","EIF2B5","Translation initiation factor eIF-2B subunit epsilon ","","Non-Exosome"
"Q6PGP7","TTC37","Tetratricopeptide repeat protein 37 ","","Exosome"
"O15127","SCAMP2","Secretory carrier-associated membrane protein 2 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0010008 Endosome Membrane","Non-Exosome"
"O15400-2","STX7","Isoform 2 of Syntaxin-7 ","GO:0031090 Organelle Membrane","Non-Exosome"
"O43172-2","PRPF4","Isoform 2 of U4/U6 small nuclear ribonucleoprotein Prp4 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"O43291-2","SPINT2","Isoform 2 of Kunitz-type protease inhibitor 2 ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Exosome"
"O43772","SLC25A20","Mitochondrial carnitine/acylcarnitine carrier protein ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O60234","GMFG","Glia maturation factor gamma ","","Non-Exosome"
"O60487","MPZL2","Myelin protein zero-like protein 2 ","",NA
"O75494-2","SRSF10","Isoform 2 of Serine/arginine-rich splicing factor 10 ","","Non-Exosome"
"O75521-2","ECI2","Isoform 2 of Enoyl-CoA delta isomerase 2; mitochondrial ","","Non-Exosome"
"P02656","APOC3","Apolipoprotein C-III ","","Non-Exosome"
"P14406","COX7A2","Cytochrome c oxidase subunit 7A2; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P19525-2","EIF2AK2","Isoform 2 of Interferon-induced; double-stranded RNA-activated protein kinase ","","Non-Exosome"
"P19623","SRM","Spermidine synthase ","GO:0005829 Cytosol","Non-Exosome"
"P21397-2","MAOA","Isoform 2 of Amine oxidase [flavin-containing] A ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P26885","FKBP2","Peptidyl-prolyl cis-trans isomerase FKBP2 ","","Non-Exosome"
"P29279-2","CTGF","Isoform 2 of Connective tissue growth factor ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Non-Exosome"
"P29622","SERPINA4","Kallistatin ","","Exosome"
"P49736","MCM2","DNA replication licensing factor MCM2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
